a_1	a_2	luminosity_distance	ra	dec	cos_theta_jn	cos_tilt_1	cos_tilt_2	mass_1	mass_2	tilt_1	tilt_2	theta_jn	chirp_mass	total_mass	symmetric_mass_ratio	mass_ratio	log_likelihood	inverted_mass_ratio	redshift	comoving_distance	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source
9.132032632203337941e-02	1.879595504258198269e-02	1.037380696856787381e+03	2.583830587880564522e-01	-4.292723231527942884e-01	-8.226735714451415271e-01	5.801706107329536177e-01	8.291282434544912094e-01	3.630436901496894109e+01	3.265146067593133239e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.536894205361623911e+00	2.996420134926341561e+01	6.895582969090027348e+01	2.492984226147072213e-01	8.993810266325948932e-01	0.000000000000000000e+00	1.111875801676778019e+00	2.045908004123481172e-01	8.611837131341396798e+02	3.013834158665453700e+01	2.710585259720918216e+01	5.724419418386371916e+01	2.487500430769208748e+01
1.085967313328568828e-01	2.799466364876930236e-01	1.130339048400091087e+03	2.865339888855966688e-01	-4.417474625761391160e-01	-8.389670654514259640e-01	-7.373619372467553612e-01	-2.332621382451499914e-01	3.500877702240449452e+01	3.067938146465465010e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.566178621513741653e+00	2.851784512044034869e+01	6.568815848705914107e+01	2.489140236457330069e-01	8.763339960439300302e-01	0.000000000000000000e+00	1.141117432981420876e+00	2.208727075400319373e-01	9.258374528162969455e+02	2.867520651923212327e+01	2.512905831638364162e+01	5.380426483561576134e+01	2.335857370249654963e+01
1.233166991480517255e-01	6.752759036910962465e-01	1.364507747234376438e+03	2.579012878215474758e-01	-4.134666234707756183e-01	-9.841398012529730677e-01	-5.827637280855861857e-01	1.391218026852845402e-01	3.530747426648673581e+01	3.224737335789876624e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.963254204075359333e+00	2.936873864992971050e+01	6.755484762438550206e+01	2.494870223226176298e-01	9.133299401284966645e-01	0.000000000000000000e+00	1.094894578687861442e+00	2.608662129382944839e-01	1.082195822326292273e+03	2.800255404116744629e+01	2.557557100586445742e+01	5.357812504703190370e+01	2.329250982266346526e+01
5.177047831410690470e-01	4.955514808136522453e-01	1.166102012115499292e+03	2.092283641154048524e-01	-5.161688926609034889e-01	-8.438942556656895411e-01	2.724055884362131530e-01	7.633399652659975665e-01	4.615034429274385275e+01	2.828923463153456552e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.575297144238482439e+00	3.126920964713650619e+01	7.443957892427842182e+01	2.356070748515635693e-01	6.129799260453716592e-01	0.000000000000000000e+00	1.631374793056407313e+00	2.270730853860756238e-01	9.503065997220077179e+02	3.761010231776333512e+01	2.305423773730143111e+01	6.066434005506476979e+01	2.548276057843631648e+01
6.313596581688294407e-01	1.112822313010218833e-01	1.012845068837738609e+03	1.975404672385518978e-01	-5.224149426087647541e-01	-7.355170400535445685e-01	2.206285315313182838e-01	-2.359194997099526292e-01	5.095795931889998798e+01	2.396974680924743950e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.397225843721839222e+00	3.000521874463550276e+01	7.492770612814743458e+01	2.175657860732394255e-01	4.703827847430540610e-01	0.000000000000000000e+00	2.125928142855501246e+00	2.002524014567800548e-01	8.438589066679683128e+02	4.245603612794348436e+01	1.997058850301376864e+01	6.242662463095726366e+01	2.499909078142007957e+01
7.920465565394132490e-01	6.313723743943259192e-01	1.236466988066395743e+03	2.374516772531415632e-01	-4.800854031645073738e-01	-9.744786252762953627e-01	-1.989513564221287445e-01	1.505018346152665609e-01	3.667570200039418182e+01	3.084669327863596777e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.915182952358092106e+00	2.925921446583132379e+01	6.752239527903014960e+01	2.481369104110527080e-01	8.410661990411100186e-01	0.000000000000000000e+00	1.188967052938387781e+00	2.391720395777810759e-01	9.978126606284552054e+02	2.959694120671942486e+01	2.489298684397871142e+01	5.448992805069813272e+01	2.361190660483327264e+01
5.382601309487365926e-01	6.241445141013486353e-01	6.737050280358650980e+02	2.351697399469001581e-01	-4.641838181383359796e-01	-2.934966471907322072e-01	9.468788783851217472e-01	-8.354259392424231434e-01	3.944544181784254988e+01	3.040000326155599097e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.868678854579329807e+00	3.009502131077164933e+01	6.984544507939854441e+01	2.458070171492670597e-01	7.706848208708618753e-01	0.000000000000000000e+00	1.297547289007217719e+00	1.382698808633177623e-01	5.918674381853002160e+02	3.465385712211347879e+01	2.670720166864046874e+01	6.136105879075395109e+01	2.643926701104149402e+01
5.263244117099945552e-01	6.023207640572232346e-01	7.111860680163111965e+02	2.455424370964867931e-01	-4.414007483028664636e-01	-4.343103205761034702e-01	-3.551545341794689475e-02	8.657401157930195712e-01	4.480446934492740496e+01	2.920192836959090599e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.020068801014716531e+00	3.134626989048632950e+01	7.400639771451831450e+01	2.388880023299131128e-01	6.517637368892762462e-01	0.000000000000000000e+00	1.534298309956270590e+00	1.453193140717251031e-01	6.209475986976805189e+02	3.911963135035505701e+01	2.549675711463829231e+01	6.461638846499334932e+01	2.736902233757605529e+01
2.522842511272962995e-01	7.765541263012258888e-01	9.202436924306466608e+02	2.426259949586039022e-01	-4.806638147661402849e-01	-8.079210291459848481e-01	4.583756828746356482e-01	-3.037235773138728390e-01	5.335937892810237315e+01	2.034528744419014146e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.511411940833898182e+00	2.804824941777059522e+01	7.370466637229250750e+01	1.998410149479438458e-01	3.812879357461007590e-01	0.000000000000000000e+00	2.622689852599739524e+00	1.837094636350385390e-01	7.774206447464440544e+02	4.507810452426537751e+01	1.718773742140411187e+01	6.226584194566948582e+01	2.369521430675866824e+01
2.604587369204433567e-01	5.399513015375337899e-01	9.165444733301904989e+02	2.122345219421272189e-01	-6.152379423734735120e-01	-7.441539091989144428e-01	1.143243977740918405e-01	2.587620348881740640e-01	3.898022784078008129e+01	3.157404622970270580e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.410063685293199587e+00	3.050704219262600603e+01	7.055427407048279065e+01	2.472452507852540837e-01	8.100015823065758180e-01	0.000000000000000000e+00	1.234565489554206863e+00	1.830433637039898809e-01	7.747330317314548438e+02	3.294911161898318142e+01	2.668883254697236040e+01	5.963794416595554537e+01	2.578691798507835031e+01
